date;All items;All items, less food and energy;Gasoline (all types)
2024-06-01;251.712;260.122;201.194
2024-05-01;252.776;261.114;206.749
2024-04-01;254.202;261.836;225.282
2024-03-01;255.548;262.332;248.499
2024-02-01;256.092;262.59;254.551
2024-01-01;256.143;263.177;242.043
2023-12-01;256.571;263.566;244.0
2023-11-01;256.558;264.169;233.625
2023-10-01;256.759;264.522;231.496
2023-09-01;257.346;265.059;235.168
2023-08-01;257.208;265.108;232.575
2023-07-01;256.974;264.935;228.857
2023-06-01;257.971;266.004;227.01
2023-05-01;258.678;267.268;218.373
2023-04-01;258.115;267.312;202.205
2023-03-01;256.389;266.089;168.891
2023-02-01;256.394;265.799;168.528
2023-01-01;257.797;266.302;185.422
2022-12-01;259.101;267.703;194.397
2022-11-01;259.918;268.756;194.449
2022-10-01;260.28;269.054;195.888
2022-09-01;260.388;269.328;192.792
2022-08-01;260.229;269.473;187.609
2022-07-01;260.474;269.226;193.99
2022-06-01;261.582;269.755;207.406
2022-05-01;263.014;270.696;221.689
2022-04-01;264.877;271.713;247.652
2022-03-01;267.054;273.968;252.603
2022-02-01;269.195;275.893;263.17
2022-01-01;271.696;278.218;268.979
2021-12-01;273.003;279.146;275.656
2021-11-01;273.567;279.507;277.448
2021-10-01;274.31;279.884;278.338
2021-09-01;276.589;281.617;288.501
2021-08-01;277.948;282.754;296.571
2021-07-01;278.802;283.908;290.185
2021-06-01;281.148;285.996;290.416
2021-05-01;283.716;288.059;305.959
2021-04-01;287.504;289.305;366.499
2021-03-01;289.109;290.846;362.802
2021-02-01;292.296;292.506;391.262
2021-01-01;296.311;294.68;430.142
2020-12-01;296.276;295.646;396.952
2020-11-01;296.171;297.178;348.593
2020-10-01;296.808;298.442;328.918
2020-09-01;298.012;299.315;339.017
2020-08-01;297.711;299.6;326.649
2020-07-01;296.797;300.113;285.757
2020-06-01;299.17;301.962;294.759
2020-05-01;300.84;304.011;299.774
2020-04-01;301.836;305.476;302.673
2020-03-01;303.363;306.899;318.482
2020-02-01;304.127;308.096;314.116
2020-01-01;305.109;308.91;316.258
2019-12-01;305.691;309.402;318.071
2019-11-01;307.026;310.103;336.979
2019-10-01;307.789;310.817;338.893
2019-09-01;307.671;311.38;320.999
2019-08-01;307.051;311.606;297.598
2019-07-01;306.746;311.907;280.289
2019-06-01;308.417;313.623;276.003
2019-05-01;310.326;315.419;287.943
2019-04-01;312.332;317.088;306.513
2019-03-01;313.548;317.978;322.434
2019-02-01;314.069;318.629;320.981
2019-01-01;314.175;319.003;308.475
